Repository Name,Owner,Description,URL,Programming Language,Creation Date,Last Updated Date,Number of Stars,Number of Forks,Number of Open Issues,License Type,Topic
llm-course,mlabonne,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.,https://github.com/mlabonne/llm-course,Jupyter Notebook,2023-06-17T22:16:25Z,2024-10-09T16:44:15Z,37906,3993,52,Apache License 2.0,llm
quivr,QuivrHQ,"Open-source RAG Framework for building GenAI Second Brains 🧠  Build productivity assistant (RAG) ⚡️🤖 Chat with your docs (PDF, CSV, ...)  & apps using Langchain, GPT 3.5 / 4 turbo, Private, Anthropic, VertexAI, Ollama, LLMs, Groq  that you can share with users !  Efficient retrieval augmented generation framework",https://github.com/QuivrHQ/quivr,Python,2023-05-12T23:53:30Z,2024-10-09T14:54:14Z,36236,3523,139,Other,llm
llama_index,run-llama,LlamaIndex is a data framework for your LLM applications,https://github.com/run-llama/llama_index,Python,2022-11-02T04:24:54Z,2024-10-09T18:38:58Z,35943,5108,617,MIT License,llm
OpenHands,All-Hands-AI,"🙌 OpenHands: Code Less, Make More",https://github.com/All-Hands-AI/OpenHands,Python,2024-03-13T03:33:31Z,2024-10-09T18:16:18Z,32823,3757,151,MIT License,llm
LLaMA-Factory,hiyouga,Unified Efficient Fine-Tuning of 100+ LLMs (ACL 2024),https://github.com/hiyouga/LLaMA-Factory,Python,2023-05-28T10:09:12Z,2024-10-09T19:09:10Z,32083,3931,202,Apache License 2.0,llm
Langchain-Chatchat,chatchat-space,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain ",https://github.com/chatchat-space/Langchain-Chatchat,TypeScript,2023-03-31T12:12:45Z,2024-10-09T17:34:36Z,31508,5490,90,Apache License 2.0,llm
ChatTTS,2noise,A generative speech model for daily dialogue.,https://github.com/2noise/ChatTTS,Python,2024-05-27T18:26:49Z,2024-10-09T16:58:00Z,31333,3394,109,GNU Affero General Public License v3.0,llm
chatgpt-on-wechat,zhayujie,基于大模型搭建的聊天机器人，同时支持 微信公众号、企业微信应用、飞书、钉钉 等接入，可选择GPT3.5/GPT-4o/GPT-o1/ Claude/文心一言/讯飞星火/通义千问/ Gemini/GLM-4/Claude/Kimi/LinkAI，能处理文本、语音和图片，访问操作系统和互联网，支持基于自有知识库进行定制企业智能客服。,https://github.com/zhayujie/chatgpt-on-wechat,Python,2022-08-07T08:33:41Z,2024-10-09T16:57:57Z,30365,7973,306,MIT License,llm
milvus,milvus-io,"A cloud-native vector database, storage for next generation AI applications",https://github.com/milvus-io/milvus,Go,2019-09-16T06:43:43Z,2024-10-09T18:57:02Z,29824,2861,740,Apache License 2.0,llm
LLMs-from-scratch,rasbt,"Implementing a ChatGPT-like LLM in PyTorch from scratch, step by step",https://github.com/rasbt/LLMs-from-scratch,Jupyter Notebook,2023-07-23T18:15:57Z,2024-10-09T18:52:57Z,28850,3309,1,Other,llm
